clicks_day30,active_days,avg_assessment_score,early_withdraw,target,gender_enc,region_enc,highest_education_enc,imd_band_enc,age_band_enc,disability_enc,code_module_enc,code_presentation_enc
424.0,40.0,82.0,0,1,1,0,1,9,2,0,0,1
618.0,80.0,66.4,0,1,0,6,1,2,1,0,0,1
281.0,12.0,0.0,1,0,0,5,0,3,1,1,0,1
540.0,123.0,76.0,0,1,0,7,0,5,1,0,0,1
567.0,70.0,54.4,0,1,0,11,2,5,0,0,0,1
730.0,143.0,68.0,0,1,1,10,0,8,1,0,0,1
591.0,90.0,68.0,0,1,1,6,1,3,0,0,0,1
423.0,105.0,72.4,0,1,0,5,0,9,0,0,0,1
373.0,122.0,71.4,0,1,0,0,0,7,0,0,0,1
575.0,142.0,78.0,0,1,1,4,4,-1,2,0,0,1
532.0,90.0,74.0,0,1,1,8,2,7,1,0,0,1
516.0,120.0,73.2,0,1,0,0,0,2,0,0,0,1
532.0,61.0,78.6,0,1,1,0,2,6,1,0,0,1
675.0,148.0,76.0,0,1,0,5,1,5,0,0,0,1
761.0,175.0,71.6,0,1,1,6,2,4,1,0,0,1
97.0,13.0,67.0,0,0,0,0,0,7,0,0,0,1
406.0,46.0,55.6,0,1,0,11,0,6,1,0,0,1
1095.0,135.0,80.4,0,1,1,2,1,-1,1,0,0,1
39.0,14.0,48.5,0,0,1,0,0,1,1,0,0,1
987.0,122.0,66.0,0,1,1,9,0,3,1,0,0,1
293.0,86.0,70.4,0,1,1,1,0,3,0,0,0,1
335.0,125.0,70.8,0,1,1,5,1,0,0,0,0,1
583.0,93.0,65.33333333333333,0,0,1,8,2,7,1,0,0,1
1144.0,91.0,60.6,0,1,1,10,2,7,1,0,0,1
134.0,52.0,68.4,0,1,1,12,0,2,0,0,0,1
1431.0,144.0,72.6,0,1,1,8,2,8,1,0,0,1
559.0,177.0,78.0,0,1,1,5,0,3,0,0,0,1
369.0,58.0,76.6,0,1,1,3,1,6,0,0,0,1
1303.0,161.0,79.6,0,1,1,2,4,-1,1,0,0,1
217.0,33.0,60.0,0,0,1,8,1,8,1,0,0,1
318.0,47.0,53.4,0,1,1,1,2,2,0,0,0,1
205.0,70.0,63.4,0,1,1,0,1,8,1,0,0,1
656.0,136.0,81.0,0,1,0,0,1,9,1,0,0,1
981.0,195.0,77.6,0,1,1,12,2,6,1,0,0,1
343.0,50.0,71.8,0,1,0,4,4,-1,1,0,0,1
418.0,120.0,72.8,0,1,1,12,1,6,1,0,0,1
455.0,108.0,62.4,0,1,1,10,1,0,0,0,0,1
530.0,98.0,74.2,0,1,1,0,0,7,1,0,0,1
59.0,27.0,61.8,0,1,1,1,1,3,0,0,0,1
638.0,127.0,71.4,0,1,1,8,0,4,1,0,0,1
302.0,89.0,69.6,0,1,0,1,0,4,0,0,0,1
529.0,110.0,81.0,0,0,1,11,0,5,0,0,0,1
157.0,32.0,67.4,0,1,0,0,2,8,1,0,0,1
753.0,138.0,84.4,0,1,0,7,0,9,1,0,0,1
73.0,14.0,0.0,1,0,0,0,2,2,0,0,0,1
301.0,43.0,53.142857142857146,0,0,0,7,2,9,1,1,0,1
1054.0,192.0,80.2,0,1,1,9,0,4,1,0,0,1
524.0,92.0,72.6,0,1,0,1,0,3,0,0,0,1
91.0,41.0,48.833333333333336,0,0,1,9,0,9,0,0,0,1
451.0,95.0,73.6,0,1,0,4,0,5,1,0,0,1
1128.0,200.0,68.8,0,1,0,8,1,8,1,0,0,1
219.0,35.0,54.4,0,1,1,9,1,6,0,0,0,1
132.0,32.0,50.0,0,0,0,11,0,2,0,1,0,1
615.0,127.0,68.66666666666667,0,0,1,4,2,6,0,0,0,1
42.0,9.0,52.0,0,0,0,4,2,8,0,0,0,1
1143.0,198.0,79.5,0,0,0,5,0,3,1,1,0,1
37.0,20.0,50.0,0,1,0,3,0,8,0,0,0,1
459.0,81.0,67.0,0,1,1,3,0,0,1,0,0,1
1033.0,202.0,79.8,0,1,0,1,0,2,1,0,0,1
828.0,134.0,78.14285714285714,0,0,0,0,2,7,0,0,0,1
366.0,87.0,70.6,0,1,0,9,0,9,0,0,0,1
705.0,124.0,68.2,0,0,1,1,0,4,1,0,0,1
84.0,51.0,71.8,0,1,1,6,0,7,0,0,0,1
426.0,99.0,69.4,0,1,0,12,0,4,1,0,0,1
272.0,42.0,66.4,0,1,0,11,2,1,1,0,0,1
291.0,135.0,69.6,0,1,1,2,1,-1,1,0,0,1
244.0,86.0,61.4,0,1,0,2,0,-1,1,0,0,1
1581.0,249.0,80.4,0,1,1,0,1,9,2,0,0,1
1464.0,197.0,82.4,0,1,1,4,1,-1,1,0,0,1
706.0,97.0,78.2,0,1,1,5,1,7,1,0,0,1
94.0,17.0,37.6,0,0,0,5,0,8,0,0,0,1
616.0,157.0,53.4,0,1,1,9,0,3,0,0,0,1
439.0,20.0,76.0,0,0,0,9,0,8,1,0,0,1
717.0,116.0,54.0,0,1,0,9,0,6,0,0,0,1
254.0,58.0,49.0,0,1,1,3,0,1,0,0,0,1
393.0,147.0,59.8,0,1,1,9,1,8,1,0,0,1
305.0,15.0,74.0,0,0,1,3,1,1,0,0,0,1
851.0,109.0,76.0,0,1,1,6,1,3,1,0,0,1
2608.0,231.0,89.2,0,1,1,7,0,5,1,0,0,1
1761.0,167.0,71.66666666666667,0,0,1,12,0,7,1,0,0,1
480.0,84.0,79.4,0,1,1,6,0,9,0,0,0,1
703.0,176.0,68.4,0,1,0,9,2,9,0,0,0,1
170.0,58.0,50.0,0,0,1,3,0,9,0,0,0,1
253.0,81.0,54.4,0,1,1,3,2,5,1,0,0,1
835.0,47.0,66.66666666666667,0,0,0,10,0,3,0,0,0,1
689.0,126.0,72.2,0,1,1,9,1,8,1,0,0,1
234.0,32.0,56.666666666666664,0,0,1,0,0,4,0,1,0,1
974.0,162.0,83.6,0,1,0,3,0,1,1,0,0,1
577.0,69.0,62.6,0,0,1,2,1,-1,0,0,0,1
78.0,37.0,72.4,0,1,1,3,1,6,0,0,0,1
69.0,38.0,61.8,0,1,1,1,2,5,0,0,0,1
232.0,50.0,66.0,0,1,1,11,0,2,0,0,0,1
184.0,123.0,78.0,0,1,1,1,0,5,0,0,0,1
523.0,86.0,67.75,0,1,1,3,0,4,0,0,0,1
459.0,136.0,57.833333333333336,0,0,1,12,0,9,0,0,0,1
158.0,41.0,78.0,0,1,1,6,4,9,0,0,0,1
517.0,162.0,79.2,0,1,1,8,1,9,2,0,0,1
66.0,26.0,75.8,0,1,1,3,1,8,0,0,0,1
162.0,44.0,58.4,0,1,1,8,0,9,0,0,0,1
699.0,135.0,78.8,0,1,1,0,1,9,1,0,0,1
345.0,117.0,58.6,0,0,0,1,1,6,1,0,0,1
220.0,56.0,77.4,0,1,1,3,1,2,1,0,0,1
440.0,68.0,55.6,0,1,1,9,0,9,1,0,0,1
740.0,193.0,78.4,0,1,1,5,2,2,0,0,0,1
1114.0,166.0,71.4,0,1,1,10,2,2,1,0,0,1
202.0,139.0,76.8,0,1,1,5,1,1,0,0,0,1
249.0,53.0,58.8,0,1,0,11,2,3,0,0,0,1
834.0,204.0,64.8,0,1,0,0,2,7,1,0,0,1
179.0,43.0,57.5,1,0,0,3,0,8,1,0,0,1
363.0,69.0,71.0,0,1,1,1,0,2,1,0,0,1
967.0,119.0,76.6,0,1,0,5,0,3,1,0,0,1
784.0,116.0,74.6,0,0,1,0,0,1,1,0,0,1
143.0,18.0,43.0,0,0,1,0,0,3,0,0,0,1
1010.0,128.0,76.4,0,1,1,6,0,8,1,0,0,1
1123.0,82.0,67.66666666666667,0,0,0,7,0,6,0,0,0,1
