id_student,total_clicks,final_result
6516,2791,Pass
8462,656,Withdrawn
8462,656,Withdrawn
11391,934,Pass
23629,161,Fail
23698,910,Pass
23798,590,Distinction
24186,184,Pass
24213,1992,Withdrawn
24213,1992,Pass
24391,712,Distinction
24734,499,Pass
25107,2562,Pass
25150,2103,Pass
25261,997,Withdrawn
25572,113,Withdrawn
25629,16,Withdrawn
25629,16,Withdrawn
25997,13,Withdrawn
26023,786,Pass
26192,2223,Distinction
26211,15205,Pass
26247,478,Fail
26315,2451,Pass
26734,210,Fail
26915,61,Fail
27116,1847,Distinction
27189,2638,Fail
27417,510,Withdrawn
27417,510,Withdrawn
27683,2129,Pass
27759,366,Fail
27780,553,Pass
27891,348,Withdrawn
27891,348,Fail
27935,813,Fail
28046,661,Fail
28061,1590,Pass
28400,1435,Pass
28418,328,Fail
28787,645,Pass
28808,232,Fail
28897,3367,Distinction
28952,105,Withdrawn
29144,1914,Fail
29335,8840,Distinction
29411,1170,Withdrawn
29411,1170,Pass
29420,816,Pass
29639,10503,Pass
29639,10503,Pass
29764,2867,Distinction
29769,1608,Fail
29820,2502,Pass
29820,2502,Pass
29985,760,Pass
30091,1332,Pass
30096,714,Distinction
30268,281,Withdrawn
30531,1548,Fail
30549,137,Fail
30850,2258,Distinction
31014,531,Withdrawn
31107,3873,Pass
31161,2932,Distinction
31173,858,Fail
31205,381,Fail
31269,859,Withdrawn
31269,859,Withdrawn
31296,1280,Fail
31600,429,Pass
31604,2158,Pass
31663,5906,Pass
31849,1179,Pass
32221,1133,Fail
32239,620,Pass
32327,699,Withdrawn
32885,1034,Pass
32930,438,Pass
33387,248,Withdrawn
33387,248,Fail
33600,481,Withdrawn
33600,481,Withdrawn
33666,1208,Withdrawn
33681,464,Withdrawn
33681,464,Fail
33796,351,Pass
33897,322,Withdrawn
33897,322,Withdrawn
33915,4121,Distinction
33930,544,Pass
34068,613,Withdrawn
34087,425,Withdrawn
34087,425,Fail
34229,706,Pass
34293,921,Withdrawn
34353,391,Fail
34431,192,Withdrawn
34431,192,Withdrawn
34653,213,Fail
34662,218,Withdrawn
34731,681,Withdrawn
34756,129,Withdrawn
34863,198,Pass
35001,77,Fail
35340,1812,Pass
35355,3358,Withdrawn
35355,3358,Pass
35502,545,Withdrawn
35508,3412,Pass
35508,3412,Distinction
35544,2107,Pass
35747,653,Withdrawn
35796,602,Fail
35812,19,Fail
35860,2215,Pass
36347,2161,Pass
36385,1355,Withdrawn
36385,1355,Withdrawn
37298,2097,Pass
37622,470,Pass
37652,885,Distinction
38053,2445,Pass
38234,94,Fail
38711,169,Withdrawn
39208,2067,Pass
39208,2067,Withdrawn
39411,164,Fail
39427,93,Withdrawn
39655,432,Distinction
39660,630,Fail
39882,1761,Withdrawn
39882,1761,Pass
40184,1876,Distinction
40333,174,Withdrawn
40419,704,Withdrawn
40419,704,Pass
40508,91,Withdrawn
40563,584,Pass
40604,465,Pass
40857,304,Withdrawn
40878,2455,Distinction
41060,411,Fail
41414,965,Pass
41489,53,Fail
41547,1007,Pass
42552,5079,Pass
42616,4093,Pass
42638,11845,Pass
42638,11845,Pass
42668,2839,Pass
42746,10673,Distinction
42746,10673,Distinction
42818,200,Fail
43273,1862,Pass
43284,847,Withdrawn
43430,5693,Pass
43564,2334,Pass
43958,3318,Withdrawn
43958,3318,Fail
45423,4383,Fail
45462,1492,Pass
45642,1428,Pass
45664,1445,Withdrawn
45664,1445,Pass
46016,389,Withdrawn
46048,12,Withdrawn
46148,3724,Pass
46605,3427,Distinction
46705,1149,Fail
46753,1779,Pass
46812,141,Withdrawn
46844,340,Pass
47061,347,Pass
47063,137,Withdrawn
47855,12,Withdrawn
47861,8757,Pass
47891,118,Fail
47924,34,Fail
48040,1829,Pass
48152,528,Pass
48503,434,Pass
48635,4998,Withdrawn
48635,4998,Pass
49119,2268,Distinction
49119,2268,Withdrawn
49123,1362,Pass
49670,33,Withdrawn
50069,531,Fail
50263,6288,Withdrawn
50263,6288,Pass
50476,568,Distinction
50487,5021,Pass
50610,13,Fail
50993,176,Fail
51030,804,Pass
51033,913,Pass
51153,1179,Pass
51163,1167,Pass
51301,670,Withdrawn
51485,2750,Distinction
51576,6101,Withdrawn
51576,6101,Withdrawn
51576,6101,Distinction
51955,405,Fail
52014,349,Fail
52130,1894,Pass
52275,91,Fail
52426,68,Fail
52702,323,Pass
52765,4938,Pass
52797,1117,Pass
52899,2468,Withdrawn
52899,2468,Pass
53025,3158,Pass
53136,3493,Pass
53166,2861,Pass
53197,60,Fail
53236,43,Withdrawn
53300,1957,Distinction
53360,22,Withdrawn
53488,1426,Pass
53626,39,Fail
53632,583,Withdrawn
53632,583,Fail
53709,2910,Withdrawn
53709,2910,Pass
53895,65,Withdrawn
54062,1624,Withdrawn
54062,1624,Distinction
54388,42,Withdrawn
54391,179,Withdrawn
54810,701,Withdrawn
54810,701,Pass
54867,604,Fail
54882,498,Fail
55013,604,Fail
55026,283,Pass
55104,1480,Pass
55242,13,Fail
55419,275,Withdrawn
55450,1195,Fail
55968,578,Fail
56340,4,Fail
56637,5440,Distinction
56667,853,Fail
56789,379,Pass
57079,776,Fail
57227,1425,Pass
57285,283,Pass
57340,1090,Pass
57359,217,Withdrawn
57506,1319,Pass
57818,3037,Pass
57844,1972,Pass
58071,3648,Pass
58077,37,Fail
58089,102,Fail
58316,1295,Pass
58549,2481,Distinction
58617,834,Fail
58640,1784,Pass
58653,383,Pass
58731,177,Pass
58873,1732,Pass
58884,5248,Distinction
59185,1102,Pass
59272,1425,Pass
59275,522,Fail
59370,2057,Pass
59541,441,Withdrawn
59725,859,Distinction
60135,2750,Pass
60162,764,Pass
60405,852,Distinction
60416,4983,Pass
60519,3198,Withdrawn
60809,4941,Pass
60809,4941,Pass
60830,1365,Pass
61227,4642,Pass
61236,506,Withdrawn
61297,94,Withdrawn
61352,181,Withdrawn
61911,448,Fail
62034,1889,Pass
62155,3388,Pass
62278,1037,Fail
62487,683,Pass
62631,525,Fail
62975,274,Fail
63015,694,Fail
63044,231,Fail
63112,3519,Pass
63112,3519,Withdrawn
63165,912,Pass
63295,1210,Pass
63371,3344,Pass
63400,2737,Pass
63467,712,Pass
63566,1232,Fail
63721,771,Distinction
63827,108,Withdrawn
63856,965,Pass
63949,432,Pass
63958,110,Fail
64275,199,Pass
64296,1239,Fail
64296,1239,Fail
64388,4596,Fail
64427,5640,Distinction
64450,3327,Pass
64767,206,Withdrawn
64901,827,Pass
65002,176,Withdrawn
65002,176,Fail
65656,1776,Pass
66047,52,Withdrawn
66254,2149,Fail
66451,1161,Pass
66577,143,Fail
66579,681,Fail
66713,1850,Pass
66892,329,Withdrawn
67182,354,Pass
67471,1113,Pass
67505,1246,Fail
67539,1438,Pass
67602,797,Pass
67685,2314,Withdrawn
67685,2314,Pass
67781,1771,Distinction
67785,1351,Pass
67986,660,Withdrawn
68011,360,Withdrawn
68107,4255,Pass
68208,7467,Fail
68376,1085,Pass
68417,1270,Pass
68556,98,Fail
69346,1458,Withdrawn
69439,293,Withdrawn
69489,215,Withdrawn
69489,215,Withdrawn
69489,215,Fail
69491,373,Pass
69494,2049,Withdrawn
69494,2049,Withdrawn
69703,695,Pass
70011,6396,Pass
70214,3509,Withdrawn
70214,3509,Pass
70381,755,Pass
70464,1053,Pass
70495,7252,Pass
70495,7252,Distinction
70537,2434,Pass
70569,947,Pass
70608,270,Distinction
70750,103,Withdrawn
70771,181,Withdrawn
70827,269,Withdrawn
71159,5236,Pass
71209,483,Pass
71252,1194,Pass
71361,2327,Pass
71433,60,Fail
71504,1049,Pass
71578,1572,Pass
71676,1077,Pass
71723,737,Fail
71723,737,Fail
71897,261,Withdrawn
72114,4300,Pass
72349,134,Withdrawn
72400,420,Distinction
72609,6378,Fail
72693,2269,Pass
72864,1423,Pass
73019,540,Fail
73489,1845,Pass
73584,243,Withdrawn
73664,141,Withdrawn
73664,141,Fail
73874,931,Withdrawn
74113,583,Fail
74165,1897,Pass
74290,271,Withdrawn
74290,271,Withdrawn
74372,116,Fail
74502,3630,Pass
74521,1297,Pass
74524,96,Fail
74585,7811,Distinction
74695,3679,Distinction
74734,208,Pass
75091,2992,Pass
75107,5914,Distinction
75255,950,Pass
75309,1,Withdrawn
75309,1,Withdrawn
75399,489,Pass
75427,1073,Fail
75454,4465,Pass
75728,1868,Fail
76081,1728,Withdrawn
76081,1728,Pass
76536,18,Fail
76579,2229,Withdrawn
76579,2229,Pass
76949,1482,Pass
77241,224,Withdrawn
77367,680,Pass
77692,2568,Pass
77744,2273,Pass
77746,110,Fail
77763,1354,Pass
77845,472,Fail
77995,897,Pass
77998,1305,Withdrawn
77998,1305,Pass
78170,2669,Fail
78255,321,Withdrawn
78255,321,Fail
78645,426,Fail
79261,2073,Pass
79403,1782,Withdrawn
79461,810,Withdrawn
79461,810,Fail
79610,2482,Pass
79683,431,Withdrawn
80329,4608,Withdrawn
80329,4608,Pass
80329,4608,Withdrawn
80329,4608,Pass
80358,1502,Pass
80438,5083,Pass
80448,350,Withdrawn
80491,330,Withdrawn
80717,3699,Distinction
80745,1015,Pass
80775,698,Pass
80868,28615,Pass
80868,28615,Pass
80886,589,Withdrawn
81216,13,Withdrawn
81351,817,Fail
81536,474,Fail
81754,310,Withdrawn
82088,1100,Fail
82201,591,Withdrawn
82201,591,Fail
82341,508,Distinction
82535,352,Pass
82556,1538,Fail
82575,658,Distinction
82741,879,Pass
82817,1370,Pass
83219,3395,Pass
83219,3395,Pass
83254,954,Pass
83453,382,Withdrawn
83553,393,Fail
83603,2935,Pass
84051,210,Fail
84245,657,Distinction
84299,1986,Withdrawn
84299,1986,Pass
84541,179,Fail
84576,2126,Distinction
84604,7698,Distinction
84605,1194,Withdrawn
84605,1194,Pass
84664,495,Pass
84812,474,Pass
85092,665,Pass
85144,656,Pass
85241,204,Withdrawn
85302,2280,Pass
85304,23,Withdrawn
85325,81,Withdrawn
85874,1853,Withdrawn
86047,1065,Withdrawn
86047,1065,Pass
86291,197,Withdrawn
86291,197,Fail
86538,1569,Withdrawn
86669,2284,Pass
87107,861,Pass
87152,2253,Pass
87264,8480,Distinction
87322,1791,Pass
87431,802,Withdrawn
87732,1018,Pass
87929,568,Pass
88340,187,Withdrawn
88439,809,Pass
88490,953,Distinction
88568,3582,Pass
88758,51,Withdrawn
88758,51,Withdrawn
88781,888,Fail
88910,576,Pass
89051,1163,Pass
89092,183,Pass
89188,1760,Pass
89545,595,Pass
89727,406,Fail
89778,141,Distinction
89850,1227,Distinction
89895,5614,Pass
89904,609,Pass
