code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_clicks,active_days,clicks_day30,clicks_day60,clicks_day100,click_std,unique_activity_types,last_active_day,avg_assessment_score,score_std,num_assessments_submitted,tma_avg_score,exam_avg_score,late_submissions,num_modules_registered,withdrew,withdrawal_day,early_withdraw,registered_late,target,gender_enc,region_enc,highest_education_enc,imd_band_enc,age_band_enc,disability_enc,code_module_enc,code_presentation_enc
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,934.0,40.0,424.0,529.0,592.0,7.591224380698818,6.0,253.0,82.0,3.082207001484488,5.0,82.0,0.0,0.0,1,0,999.0,0,0,1,1,0,1,9,2,0,0,1
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,1435.0,80.0,618.0,669.0,874.0,3.634240381367696,7.0,239.0,66.4,4.335896677735761,5.0,66.4,0.0,2.0,1,0,999.0,0,0,1,0,6,1,2,1,0,0,1
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,281.0,12.0,281.0,281.0,281.0,4.056335741666709,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,12.0,1,0,0,0,5,0,3,1,1,0,1
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,2158.0,123.0,540.0,816.0,1079.0,3.19457659010888,8.0,264.0,76.0,6.8920243760451125,5.0,76.0,0.0,0.0,1,0,999.0,0,0,1,0,7,0,5,1,0,0,1
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,1034.0,70.0,567.0,605.0,722.0,3.2618947354194723,7.0,247.0,54.4,20.513410247932935,5.0,54.4,0.0,5.0,1,0,999.0,0,0,1,0,11,2,5,0,0,0,1
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,2445.0,143.0,730.0,1005.0,1135.0,3.1316096867463847,8.0,267.0,68.0,10.977249200050075,5.0,68.0,0.0,1.0,1,0,999.0,0,0,1,1,10,0,8,1,0,0,1
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,1492.0,90.0,591.0,709.0,739.0,5.8646208192334,8.0,267.0,68.0,4.949747468305833,5.0,68.0,0.0,2.0,1,0,999.0,0,0,1,1,6,1,3,0,0,0,1
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,1428.0,105.0,423.0,592.0,722.0,3.17885965478643,8.0,264.0,72.4,0.5477225575051652,5.0,72.4,0.0,2.0,1,0,999.0,0,0,1,0,5,0,9,0,0,0,1
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,1894.0,122.0,373.0,579.0,817.0,3.2654772179868847,8.0,245.0,71.4,2.6076809620810586,5.0,71.4,0.0,1.0,1,0,999.0,0,0,1,0,0,0,7,0,0,0,1
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,3158.0,142.0,575.0,838.0,1411.0,3.493699466992002,7.0,257.0,78.0,4.062019202317981,5.0,78.0,0.0,0.0,1,0,999.0,0,0,1,1,4,4,-1,2,0,0,1
